2026-09-26T13:12:18.0187357Z ##[group]Run chmod +x scripts/verify-16kb-alignment.sh
2026-09-26T13:12:18.0188101Z [36;1mchmod +x scripts/verify-16kb-alignment.sh[0m
2026-09-26T13:12:18.0188973Z [36;1m./scripts/verify-16kb-alignment.sh[0m
2026-09-26T13:12:18.0276469Z shell: /usr/bin/bash -e {0}
2026-09-26T13:12:18.0276972Z env:
2026-09-26T13:12:18.0277532Z   JAVA_HOME: /opt/hostedtoolcache/Java_Temurin-Hotspot_jdk/17.0.20-1/x64
2026-09-26T13:12:18.0278434Z   JAVA_HOME_17_X64: /opt/hostedtoolcache/Java_Temurin-Hotspot_jdk/17.0.20-1/x64
2026-09-26T13:12:18.0279223Z   GRADLE_ACTION_ID: gradle/actions/setup-gradle
2026-09-26T13:12:18.0279844Z   GRADLE_USER_HOME: /home/runner/.gradle
2026-09-26T13:12:18.0280386Z   GRADLE_BUILD_ACTION_SETUP_COMPLETED: true
2026-09-26T13:12:18.0280949Z   GRADLE_BUILD_ACTION_CACHE_RESTORED: true
2026-09-26T13:12:18.0281745Z   DEVELOCITY_INJECTION_INIT_SCRIPT_NAME: gradle-actions.inject-develocity.init.gradle
2026-09-26T13:12:18.0282595Z   DEVELOCITY_INJECTION_CUSTOM_VALUE: gradle-actions
2026-09-26T13:12:18.0283231Z   GITHUB_DEPENDENCY_GRAPH_ENABLED: false
2026-09-26T13:12:18.0283801Z   ANDROID_HOME: /usr/local/lib/android/sdk
2026-09-26T13:12:18.0284400Z   ANDROID_SDK_ROOT: /usr/local/lib/android/sdk
2026-09-26T13:12:18.0285154Z   ANDROID_NDK_HOME: /usr/local/lib/android/sdk/ndk/28.2.13676358
2026-09-26T13:12:18.0286036Z ##[endgroup]
2026-09-26T13:12:18.0456484Z === Android 16 KB Page-Size ELF Alignment Verification ===
2026-09-26T13:12:18.2081156Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/x86_64/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2084117Z ✅ PASS: runtime/retropack-runtime-genesis/build/intermediates/cxx/Debug/595bv372/obj/arm64-v8a/libretropack-runtime-genesis.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2087025Z ✅ PASS: runtime/retropack-runtime-genesis/build/intermediates/cxx/Debug/595bv372/obj/x86_64/libretropack-runtime-genesis.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2090235Z ✅ PASS: runtime/retropack-runtime-genesis/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/arm64-v8a/libretropack-runtime-genesis.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2093842Z ✅ PASS: runtime/retropack-runtime-genesis/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/x86_64/libretropack-runtime-genesis.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2097717Z ✅ PASS: runtime/retropack-runtime-genesis/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/arm64-v8a/libretropack-runtime-genesis.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2100866Z ✅ PASS: runtime/retropack-runtime-genesis/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/x86_64/libretropack-runtime-genesis.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2104005Z ✅ PASS: runtime/retropack-runtime-genesis/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/arm64-v8a/libretropack-runtime-genesis.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2107656Z ✅ PASS: runtime/retropack-runtime-genesis/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/x86_64/libretropack-runtime-genesis.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2110875Z ✅ PASS: runtime/retropack-runtime-genesis/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/arm64-v8a/libretropack-runtime-genesis.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2114080Z ✅ PASS: runtime/retropack-runtime-genesis/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/x86_64/libretropack-runtime-genesis.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2117179Z ✅ PASS: runtime/retropack-runtime-melonds/build/intermediates/cxx/Debug/4l53r62e/obj/arm64-v8a/libretropack-runtime-melonds.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2119788Z ✅ PASS: runtime/retropack-runtime-melonds/build/intermediates/cxx/Debug/4l53r62e/obj/x86_64/libretropack-runtime-melonds.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2123282Z ✅ PASS: runtime/retropack-runtime-melonds/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/arm64-v8a/libretropack-runtime-melonds.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2127208Z ✅ PASS: runtime/retropack-runtime-melonds/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/x86_64/libretropack-runtime-melonds.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2130488Z ✅ PASS: runtime/retropack-runtime-melonds/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/arm64-v8a/libretropack-runtime-melonds.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2133653Z ✅ PASS: runtime/retropack-runtime-melonds/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/x86_64/libretropack-runtime-melonds.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2136959Z ✅ PASS: runtime/retropack-runtime-melonds/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/arm64-v8a/libretropack-runtime-melonds.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2140107Z ✅ PASS: runtime/retropack-runtime-melonds/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/x86_64/libretropack-runtime-melonds.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2143304Z ✅ PASS: runtime/retropack-runtime-melonds/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/arm64-v8a/libretropack-runtime-melonds.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2146679Z ✅ PASS: runtime/retropack-runtime-melonds/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/x86_64/libretropack-runtime-melonds.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2149453Z ✅ PASS: runtime/retropack-runtime-mgba/build/intermediates/cxx/Debug/3jh5r5m6/obj/arm64-v8a/libretropack-runtime.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2151889Z ✅ PASS: runtime/retropack-runtime-mgba/build/intermediates/cxx/Debug/3jh5r5m6/obj/x86_64/libretropack-runtime.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2154859Z ✅ PASS: runtime/retropack-runtime-mgba/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/arm64-v8a/libretropack-runtime.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2158393Z ✅ PASS: runtime/retropack-runtime-mgba/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/x86_64/libretropack-runtime.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2161478Z ✅ PASS: runtime/retropack-runtime-mgba/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/arm64-v8a/libretropack-runtime.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2164385Z ✅ PASS: runtime/retropack-runtime-mgba/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/x86_64/libretropack-runtime.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2167510Z ✅ PASS: runtime/retropack-runtime-mgba/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/arm64-v8a/libretropack-runtime.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2170472Z ✅ PASS: runtime/retropack-runtime-mgba/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/x86_64/libretropack-runtime.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2174069Z ✅ PASS: runtime/retropack-runtime-mgba/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/arm64-v8a/libretropack-runtime.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2177278Z ✅ PASS: runtime/retropack-runtime-mgba/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/x86_64/libretropack-runtime.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2180044Z ✅ PASS: runtime/retropack-runtime-mupen64/build/intermediates/cxx/Debug/1k4d283o/obj/arm64-v8a/libretropack-runtime-mupen64.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2182676Z ✅ PASS: runtime/retropack-runtime-mupen64/build/intermediates/cxx/Debug/1k4d283o/obj/x86_64/libretropack-runtime-mupen64.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2186339Z ✅ PASS: runtime/retropack-runtime-mupen64/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/arm64-v8a/libretropack-runtime-mupen64.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2190074Z ✅ PASS: runtime/retropack-runtime-mupen64/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/x86_64/libretropack-runtime-mupen64.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2193335Z ✅ PASS: runtime/retropack-runtime-mupen64/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/arm64-v8a/libretropack-runtime-mupen64.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2196646Z ✅ PASS: runtime/retropack-runtime-mupen64/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/x86_64/libretropack-runtime-mupen64.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2199784Z ✅ PASS: runtime/retropack-runtime-mupen64/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/arm64-v8a/libretropack-runtime-mupen64.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2202938Z ✅ PASS: runtime/retropack-runtime-mupen64/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/x86_64/libretropack-runtime-mupen64.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2206345Z ✅ PASS: runtime/retropack-runtime-mupen64/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/arm64-v8a/libretropack-runtime-mupen64.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2209557Z ✅ PASS: runtime/retropack-runtime-mupen64/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/x86_64/libretropack-runtime-mupen64.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2212350Z ✅ PASS: runtime/retropack-runtime-pce/build/intermediates/cxx/Debug/394c2d41/obj/arm64-v8a/libretropack-runtime-pce.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2214833Z ✅ PASS: runtime/retropack-runtime-pce/build/intermediates/cxx/Debug/394c2d41/obj/x86_64/libretropack-runtime-pce.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2218081Z ✅ PASS: runtime/retropack-runtime-pce/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/arm64-v8a/libretropack-runtime-pce.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2221467Z ✅ PASS: runtime/retropack-runtime-pce/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/x86_64/libretropack-runtime-pce.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2224607Z ✅ PASS: runtime/retropack-runtime-pce/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/arm64-v8a/libretropack-runtime-pce.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2227789Z ✅ PASS: runtime/retropack-runtime-pce/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/x86_64/libretropack-runtime-pce.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2230803Z ✅ PASS: runtime/retropack-runtime-pce/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/arm64-v8a/libretropack-runtime-pce.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2233899Z ✅ PASS: runtime/retropack-runtime-pce/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/x86_64/libretropack-runtime-pce.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2237230Z ✅ PASS: runtime/retropack-runtime-pce/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/arm64-v8a/libretropack-runtime-pce.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2240328Z ✅ PASS: runtime/retropack-runtime-pce/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/x86_64/libretropack-runtime-pce.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2243109Z ✅ PASS: runtime/retropack-runtime-pcsx/build/intermediates/cxx/Debug/3uf4qy72/obj/arm64-v8a/libretropack-runtime-pcsx.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2245887Z ✅ PASS: runtime/retropack-runtime-pcsx/build/intermediates/cxx/Debug/3uf4qy72/obj/x86_64/libretropack-runtime-pcsx.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2249342Z ✅ PASS: runtime/retropack-runtime-pcsx/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/arm64-v8a/libretropack-runtime-pcsx.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2252955Z ✅ PASS: runtime/retropack-runtime-pcsx/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/x86_64/libretropack-runtime-pcsx.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2256339Z ✅ PASS: runtime/retropack-runtime-pcsx/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/arm64-v8a/libretropack-runtime-pcsx.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2259397Z ✅ PASS: runtime/retropack-runtime-pcsx/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/x86_64/libretropack-runtime-pcsx.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2262457Z ✅ PASS: runtime/retropack-runtime-pcsx/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/arm64-v8a/libretropack-runtime-pcsx.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2265723Z ✅ PASS: runtime/retropack-runtime-pcsx/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/x86_64/libretropack-runtime-pcsx.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2268839Z ✅ PASS: runtime/retropack-runtime-pcsx/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/arm64-v8a/libretropack-runtime-pcsx.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2271986Z ✅ PASS: runtime/retropack-runtime-pcsx/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/x86_64/libretropack-runtime-pcsx.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2274799Z ✅ PASS: runtime/retropack-runtime-ppsspp/build/intermediates/cxx/Debug/6j612z2i/obj/arm64-v8a/libretropack-runtime-ppsspp.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2277608Z ✅ PASS: runtime/retropack-runtime-ppsspp/build/intermediates/cxx/Debug/6j612z2i/obj/x86_64/libretropack-runtime-ppsspp.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2280777Z ✅ PASS: runtime/retropack-runtime-ppsspp/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/arm64-v8a/libretropack-runtime-ppsspp.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2284290Z ✅ PASS: runtime/retropack-runtime-ppsspp/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/x86_64/libretropack-runtime-ppsspp.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2287824Z ✅ PASS: runtime/retropack-runtime-ppsspp/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/arm64-v8a/libretropack-runtime-ppsspp.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2290918Z ✅ PASS: runtime/retropack-runtime-ppsspp/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/x86_64/libretropack-runtime-ppsspp.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2294047Z ✅ PASS: runtime/retropack-runtime-ppsspp/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/arm64-v8a/libretropack-runtime-ppsspp.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2297391Z ✅ PASS: runtime/retropack-runtime-ppsspp/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/x86_64/libretropack-runtime-ppsspp.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2300568Z ✅ PASS: runtime/retropack-runtime-ppsspp/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/arm64-v8a/libretropack-runtime-ppsspp.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2303776Z ✅ PASS: runtime/retropack-runtime-ppsspp/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/x86_64/libretropack-runtime-ppsspp.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2306826Z ✅ PASS: runtime/retropack-runtime-snes9x/build/intermediates/cxx/Debug/5r3b2tr3/obj/arm64-v8a/libretropack-runtime-snes9x.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2309806Z ✅ PASS: runtime/retropack-runtime-snes9x/build/intermediates/cxx/Debug/5r3b2tr3/obj/x86_64/libretropack-runtime-snes9x.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2313156Z ✅ PASS: runtime/retropack-runtime-snes9x/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/arm64-v8a/libretropack-runtime-snes9x.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2316860Z ✅ PASS: runtime/retropack-runtime-snes9x/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/x86_64/libretropack-runtime-snes9x.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2320122Z ✅ PASS: runtime/retropack-runtime-snes9x/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/arm64-v8a/libretropack-runtime-snes9x.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2323229Z ✅ PASS: runtime/retropack-runtime-snes9x/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/x86_64/libretropack-runtime-snes9x.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2326581Z ✅ PASS: runtime/retropack-runtime-snes9x/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/arm64-v8a/libretropack-runtime-snes9x.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2329721Z ✅ PASS: runtime/retropack-runtime-snes9x/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/x86_64/libretropack-runtime-snes9x.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2332959Z ✅ PASS: runtime/retropack-runtime-snes9x/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/arm64-v8a/libretropack-runtime-snes9x.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2336338Z ✅ PASS: runtime/retropack-runtime-snes9x/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/x86_64/libretropack-runtime-snes9x.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2339282Z ✅ PASS: template-apk/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/arm64-v8a/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
